Blade number,Wind speed (m/s), TSR,Turbine Speed, Cp
24,7.5,0.029226505,27.90919118,0.10472
24,7.5,0.022639456,21.61903743,0.083776
24,7.5,0.016278156,15.5444576,0.062832
24,7.5,0.01028773,9.824035523,0.041888
24,7.5,0.004813303,4.596355042,0.020944
24,6.5,0.014862568,12.30031729,0.483323077
24,6.5,0.030121471,24.92864292,0.459156923
24,6.5,0.042804195,35.4249131,0.434990769
24,6.5,0.053059367,43.9121321,0.410824615
24,6.5,0.061035611,50.51330169,0.386658462
24,6.5,0.066881555,55.35142698,0.362492308
24,6.5,0.070745822,58.54950891,0.338326154
24,6.5,0.07277704,60.23055258,0.31416
24,6.5,0.073123833,60.51755978,0.289993846
24,6.5,0.071934828,59.53353476,0.265827692
24,6.5,0.069358649,57.40147931,0.241661538
24,6.5,0.065543924,54.24439852,0.217495385
24,6.5,0.060639276,50.18529335,0.193329231
24,6.5,0.054793333,45.34716889,0.169163077
24,6.5,0.048154719,39.85302693,0.144996923
24,6.5,0.040872061,33.82587172,0.120830769
24,6.5,0.033093984,27.38870588,0.096664615
24,6.5,0.024969114,20.66453285,0.072498462
24,6.5,0.016646076,13.77635523,0.048332308
24,6.5,0.008273496,6.847176471,0.024166154
24,5.5,0.027599319,19.3272542,0.4284
24,5.5,0.055525741,38.88357213,0.39984
24,5.5,0.07601057,53.22869048,0.37128
24,5.5,0.089789785,62.8780007,0.34272
24,5.5,0.09759937,68.34689776,0.31416
24,5.5,0.100175307,70.15077521,0.2856
24,5.5,0.098253576,68.80502521,0.25704
24,5.5,0.092570161,64.82504272,0.22848
24,5.5,0.083861043,58.72622059,0.19992
24,5.5,0.072862203,51.02395168,0.17136
24,5.5,0.060309623,42.23362955,0.1428
24,5.5,0.046939287,32.87064916,0.11424
24,5.5,0.033487174,23.45040196,0.08568
24,5.5,0.020689267,14.48828221,0.05712
24,5.5,0.009281549,6.499684174,0.02856
24,4.5,0.013668897,7.831682773,0.488693333
24,4.5,0.039129177,22.41931455,0.453786667
24,4.5,0.058744156,33.65784339,0.41888
24,4.5,0.07296175,41.80390565,0.383973333
24,4.5,0.082229874,47.11413713,0.349066667
24,4.5,0.086996445,49.84517475,0.31416
24,4.5,0.087709377,50.25365374,0.279253333
24,4.5,0.084816588,48.59621161,0.244346667
24,4.5,0.078765992,45.12948358,0.20944
24,4.5,0.070005506,40.11010657,0.174533333
24,4.5,0.058983045,33.79471639,0.139626667
24,4.5,0.046146524,26.43994882,0.10472
24,4.5,0.031943861,18.30244137,0.069813333
24,4.5,0.016822971,9.638829832,0.034906667
32,8.5,0.076431957,82.71856818,0.5544
32,8.5,0.084806241,91.7816461,0.53592
32,8.5,0.091806965,99.35818723,0.51744
32,8.5,0.097500592,105.5201212,0.49896
32,8.5,0.101953584,110.3393766,0.48048
32,8.5,0.105232404,113.8878831,0.462
32,8.5,0.107403515,116.2375703,0.44352
32,8.5,0.108533379,117.4603669,0.42504
32,8.5,0.108688458,117.6282013,0.40656
32,8.5,0.107935216,116.8130043,0.38808
32,8.5,0.106340114,115.0867035,0.3696
32,8.5,0.103969616,112.5212294,0.35112
32,8.5,0.100890183,109.1885097,0.33264
32,8.5,0.097168279,105.1604751,0.31416
32,8.5,0.092870366,100.5090541,0.29568
32,8.5,0.088062907,95.30617641,0.2772
32,8.5,0.082812364,89.62377056,0.25872
32,8.5,0.077185199,83.53376515,0.24024
32,8.5,0.071247876,77.10809091,0.22176
32,8.5,0.065066857,70.41867641,0.20328
32,8.5,0.058708605,63.5374513,0.1848
32,8.5,0.052239581,56.53634307,0.16632
32,8.5,0.045726249,49.48728247,0.14784
32,8.5,0.039235071,42.46219805,0.12936
32,8.5,0.03283251,35.53301948,0.11088
32,8.5,0.026585028,28.77167532,0.0924
32,8.5,0.020559089,22.25009632,0.07392
32,8.5,0.014821153,16.04020887,0.05544
32,8.5,0.009437685,10.21394481,0.03696
32,8.5,0.004475146,4.843231602,0.01848
32,7.5,0.013996473,13.36561593,0.586432
32,7.5,0.030911565,29.51830118,0.565488
32,7.5,0.045698161,43.63842723,0.544544
32,7.5,0.058453011,55.81838331,0.5236
32,7.5,0.069272865,66.15055863,0.502656
32,7.5,0.078254472,74.72734148,0.481712
32,7.5,0.085494583,81.64112204,0.460768
32,7.5,0.091089947,86.98428858,0.439824
32,7.5,0.095137314,90.84923033,0.41888
32,7.5,0.097733434,93.32833652,0.397936
32,7.5,0.098975057,94.51399637,0.376992
32,7.5,0.098958932,94.49859817,0.356048
32,7.5,0.097781809,93.37453113,0.335104
32,7.5,0.095540438,91.23418449,0.31416
32,7.5,0.09233157,88.16994843,0.293216
